URL,TITLE,LOCATION,DISTANCE,BUYS,NORMAL PRICE,DISCOUNT PRICE
https://www.groupon.com/,Muk Luks Women's Thong Sandals,$26.99,,50+ bought,$44,$26.99
https://www.groupon.com/,Up to 53% Off at Point Blank Range & Gun Shop,Multiple Locations,• 14.3 mi,60+ bought,$40.56,$19.99
https://www.groupon.com/,20% Cash Back at Devil Dawgs,Multiple Locations,,,,
https://www.groupon.com/,Up to 59% Off Classes at Yoga Six,Multiple Locations,• 0.9 mi,10+ bought,$119,$49
https://www.groupon.com/,Romantic Chicagoland Suites with Private Pools,Northbrook; IL,• 19.6 mi,120+ bought,$289,$149
https://www.groupon.com/,Up to 91% Off Custom Faux-Mink Photo Blankets from Printerpix,$8.99,,25;000+ bought,$79.95,$8.99
https://www.groupon.com/,69% Off Ultimate Date Night Package with Movie and Restaurant Credit,$39,,1;000+ bought,$124,$39
https://www.groupon.com/,Up to 24% Off Admission to LEGOLAND Discovery Center Chicago,Schaumburg,• 23.8 mi,210+ bought,$20,$15.20
https://www.groupon.com/,Up to 50% Off Mother's Day Flowers and Gifts from ProFlowers,$20,,1;000+ bought,$40,$20
https://www.groupon.com/,White Fire Opal Heart and Key Bangle in 18K Rose Gold Plating,$19.99,,20+ bought,$80.99,$19.99
https://www.groupon.com/,Chicagoland Hotel with Fine Dining,Bloomingdale; IL,• 24.9 mi,8 bought,$109,From $75/nt
https://www.groupon.com/,Akribos XXIV Men's Chronograph Stainless Steel Quartz Watch,$69.99,,4 bought,$795,$69.99
https://www.groupon.com/,Free Two-Month Subscription to ABCmouse.com,Claim for Free,,100;000+ bought,$15.90,
https://www.groupon.com/,Luigi Franconi Men's Dress Socks (24-Pack),$34.99,,10+ bought,$102,$34.99
https://www.groupon.com/,15% Cash Back at Falafel and Shawarma Corner,Near North Side,,190+ claimed,,
https://www.groupon.com/,Women's Solid Color Cotton Sports Bras (6-Pack),$29.99,,30+ bought,$80,$29.99
https://www.groupon.com/,Great Wolf Lodge Water Park Resort in Traverse City,Traverse City; MI,• 224.7 mi,110+ bought,$250,From $119/nt
https://www.groupon.com/,20% Cash Back at Froyo Chicago,Multiple Locations,,1;000+ claimed,,
https://www.groupon.com/,Apple Original EarPod Headphones with Remote and Mic,$14.99,,1;000+ bought,$29.99,$14.99
https://www.groupon.com/,Portable Blood Pressure Monitor Collection,$24.99,,10+ bought,$64.99,$24.99
https://www.groupon.com/,Burndown at Sundown - Up to 50% Off Drag Racing,Route 66 Raceway,• 36.1 mi,640+ bought,$20,$10
https://www.groupon.com/,30% Cash Back at Wood Fire Counter,West Loop,,340+ claimed,,
https://www.groupon.com/,Men's 100% Cotton Regular Fit Washed Denim Jeans,$29.99,,9 bought,$39.99,$29.99
https://www.groupon.com/,Up to 28% Off Admission to Brookfield Zoo,Southwest Side,• 11.2 mi,10;000+ bought,$19.85,$14.50
https://www.groupon.com/,10% Cash Back at Leonidas Chocolate Cafe,Multiple Locations,,140+ claimed,,
https://www.groupon.com/,Great Wolf Lodge Water Park Resort in the Dells,Wisconsin Dells; WI,• 160.3 mi,220+ bought,$230,From $129/nt
https://www.groupon.com/,Family Friendly Resort on Lake Geneva,Fontana; WI,• 67.2 mi,100+ bought,$129,From $79/nt
https://www.groupon.com/,Jasmine Collection Reversible-Quilt Set (2- or 3-Piece),$24.99,,50+ bought,$119.99,$24.99
https://www.groupon.com/,Red Jeans Women's Crew Neck Short Sleeve Casual Denim Dress,$24.99,,10+ bought,$88,$24.99
https://www.groupon.com/,15% Cash Back at Sugar Fixe,North Side,,140+ claimed,,
https://www.groupon.com/,70% Off at Unlimited Tan,Multiple Locations,• 1.1 mi,1;000+ bought,$40,$12
https://www.groupon.com/,WallyPark Airport Parking (ORD) — Up to 30% Off Valet Parking,Wally Park O'Hare,• 14.2 mi,25;000+ bought,$14.95,$10.50
https://www.groupon.com/,20% Cash Back at Ryo Sushi,The Loop,,780+ claimed,,
https://www.groupon.com/,Wilton Armetale Classic Collection Serveware,$22.97,,,$57.25,$22.97
https://www.groupon.com/browse/chicago?context=local,20% Cash Back at Froyo Chicago,Multiple Locations,• 0.5 mi,1;000+ claimed,,
https://www.groupon.com/browse/chicago?context=local,Up to 28% Off Admission to Brookfield Zoo,Southwest Side,• 11.2 mi,10;000+ bought,$19.85,$14.50
https://www.groupon.com/browse/chicago?context=local,WallyPark Airport Parking (ORD) — Up to 30% Off Valet Parking,Wally Park O'Hare,• 14.2 mi,25;000+ bought,$14.95,$10.50
https://www.groupon.com/browse/chicago?context=local,70% Off at Unlimited Tan,Multiple Locations,• 1.1 mi,1;000+ bought,$40,$12
https://www.groupon.com/browse/chicago?context=local,Up to 62% at Versailles Massage & Bar,South Loop,• 1 mi,5;000+ bought,$50,$25
https://www.groupon.com/browse/chicago?context=local,Sears Auto Centers — Up to 37% Off Oil Changes,Multiple Locations,• 6.7 mi,10;000+ bought,$29.99,$18.99
https://www.groupon.com/browse/chicago?context=local,Up to 25% Off Admission at the 360 CHICAGO Observation Deck,Chicago,• 1.4 mi,5;000+ bought,$96,$72
https://www.groupon.com/browse/chicago?context=local,30% Cash Back at Wood Fire Counter,West Loop,,350+ claimed,,
https://www.groupon.com/browse/chicago?context=local,Midas — Up to 76% Off Oil Change,Multiple Locations,• 1 mi,5;000+ bought,$39.95,$22
https://www.groupon.com/browse/chicago?context=local,Save 15% - Earth Day Sale - Online Only,Get Coupon,,,,
https://www.groupon.com/browse/chicago?context=local,Up to 51% Off Reflexology Massages  at Healthy ZU Spa,Chicago,• 1.2 mi,5;000+ bought,$39,$19
https://www.groupon.com/browse/chicago?context=local,20% Cash Back at Devil Dawgs,Multiple Locations,,,,
https://www.groupon.com/browse/chicago?context=local,Ultimate Exposure Tanning Centers – 83% Off,Multiple Locations,• 1 mi,10;000+ bought,$179.97,$29.99
https://www.groupon.com/browse/chicago?context=local,Up to 57% Off at Vanessa Waller Acupuncture,Downtown,• 0.7 mi,30+ bought,$30,$15
https://www.groupon.com/browse/chicago?context=local,Chicago History Museum – 50% Off,Chicago History Museum,• 2.3 mi,1;000+ bought,$16,$8
https://www.groupon.com/browse/chicago?context=local,10% Cash Back at Leonidas Chocolate Cafe,Multiple Locations,,140+ claimed,,
